vote,@name-id,@sort-field,@unaccented-name,@party,@state,@role,#text,rollcall-num
Jeffries,A000370,Adams,Adams,D,NC,legislator,Adams,12
McCarthy,A000055,Aderholt,Aderholt,R,AL,legislator,Aderholt,12
Jeffries,A000371,Aguilar,Aguilar,D,CA,legislator,Aguilar,12
McCarthy,A000379,Alford,Alford,R,MO,legislator,Alford,12
McCarthy,A000372,Allen,Allen,R,GA,legislator,Allen,12
Jeffries,A000376,Allred,Allred,D,TX,legislator,Allred,12
McCarthy,A000369,Amodei,Amodei,R,NV,legislator,Amodei,12
McCarthy,A000377,Armstrong,Armstrong,R,ND,legislator,Armstrong,12
McCarthy,A000375,Arrington,Arrington,R,TX,legislator,Arrington,12
Jeffries,A000148,Auchincloss,Auchincloss,D,MA,legislator,Auchincloss,12
McCarthy,B001291,Babin,Babin,R,TX,legislator,Babin,12
McCarthy,B001298,Bacon,Bacon,R,NE,legislator,Bacon,12
McCarthy,B001307,Baird,Baird,R,IN,legislator,Baird,12
McCarthy,B001306,Balderson,Balderson,R,OH,legislator,Balderson,12
Jeffries,B001318,Balint,Balint,D,VT,legislator,Balint,12
McCarthy,B001299,Banks,Banks,R,IN,legislator,Banks,12
McCarthy,B001282,Barr,Barr,R,KY,legislator,Barr,12
Jeffries,B001300,Barragan,Barragan,D,CA,legislator,Barragán,12
McCarthy,B001314,Bean (FL),Bean (FL),R,FL,legislator,Bean (FL),12
Jeffries,B001281,Beatty,Beatty,D,OH,legislator,Beatty,12
McCarthy,B000668,Bentz,Bentz,R,OR,legislator,Bentz,12
Jeffries,B001287,Bera,Bera,D,CA,legislator,Bera,12
McCarthy,B001301,Bergman,Bergman,R,MI,legislator,Bergman,12
Jeffries,B001292,Beyer,Beyer,D,VA,legislator,Beyer,12
McCarthy,B000740,Bice,Bice,R,OK,legislator,Bice,12
Hern,B001302,Biggs,Biggs,R,AZ,legislator,Biggs,12
McCarthy,B001257,Bilirakis,Bilirakis,R,FL,legislator,Bilirakis,12
Jeffries,B000490,Bishop (GA),Bishop (GA),D,GA,legislator,Bishop (GA),12
Donalds,B001311,Bishop (NC),Bishop (NC),R,NC,legislator,Bishop (NC),12
Jeffries,B000574,Blumenauer,Blumenauer,D,OR,legislator,Blumenauer,12
Jeffries,B001303,Blunt Rochester,Blunt Rochester,D,DE,legislator,Blunt Rochester,12
Hern,B000825,Boebert,Boebert,R,CO,legislator,Boebert,12
Jeffries,B001278,Bonamici,Bonamici,D,OR,legislator,Bonamici,12
McCarthy,B001295,Bost,Bost,R,IL,legislator,Bost,12
Jeffries,B001223,Bowman,Bowman,D,NY,legislator,Bowman,12
Jeffries,B001296,Boyle (PA),Boyle (PA),D,PA,legislator,Boyle (PA),12
Hern,B001317,Brecheen,Brecheen,R,OK,legislator,Brecheen,12
Jeffries,B001313,Brown,Brown,D,OH,legislator,Brown,12
Jeffries,B001285,Brownley,Brownley,D,CA,legislator,Brownley,12
McCarthy,B001260,Buchanan,Buchanan,R,FL,legislator,Buchanan,12
Not Voting,B001297,Buck,Buck,R,CO,legislator,Buck,12
McCarthy,B001275,Bucshon,Bucshon,R,IN,legislator,Bucshon,12
Jeffries,B001315,Budzinski,Budzinski,D,IL,legislator,Budzinski,12
