vote,@name-id,@sort-field,@unaccented-name,@party,@state,@role,#text,rollcall-num
Jeffries,A000370,Adams,Adams,D,NC,legislator,Adams,3
McCarthy,A000055,Aderholt,Aderholt,R,AL,legislator,Aderholt,3
Jeffries,A000371,Aguilar,Aguilar,D,CA,legislator,Aguilar,3
McCarthy,A000379,Alford,Alford,R,MO,legislator,Alford,3
McCarthy,A000372,Allen,Allen,R,GA,legislator,Allen,3
Jeffries,A000376,Allred,Allred,D,TX,legislator,Allred,3
McCarthy,A000369,Amodei,Amodei,R,NV,legislator,Amodei,3
McCarthy,A000377,Armstrong,Armstrong,R,ND,legislator,Armstrong,3
McCarthy,A000375,Arrington,Arrington,R,TX,legislator,Arrington,3
Jeffries,A000148,Auchincloss,Auchincloss,D,MA,legislator,Auchincloss,3
McCarthy,B001291,Babin,Babin,R,TX,legislator,Babin,3
McCarthy,B001298,Bacon,Bacon,R,NE,legislator,Bacon,3
McCarthy,B001307,Baird,Baird,R,IN,legislator,Baird,3
McCarthy,B001306,Balderson,Balderson,R,OH,legislator,Balderson,3
Jeffries,B001318,Balint,Balint,D,VT,legislator,Balint,3
McCarthy,B001299,Banks,Banks,R,IN,legislator,Banks,3
McCarthy,B001282,Barr,Barr,R,KY,legislator,Barr,3
Jeffries,B001300,Barragan,Barragan,D,CA,legislator,Barragán,3
McCarthy,B001314,Bean (FL),Bean (FL),R,FL,legislator,Bean (FL),3
Jeffries,B001281,Beatty,Beatty,D,OH,legislator,Beatty,3
McCarthy,B000668,Bentz,Bentz,R,OR,legislator,Bentz,3
Jeffries,B001287,Bera,Bera,D,CA,legislator,Bera,3
McCarthy,B001301,Bergman,Bergman,R,MI,legislator,Bergman,3
Jeffries,B001292,Beyer,Beyer,D,VA,legislator,Beyer,3
McCarthy,B000740,Bice,Bice,R,OK,legislator,Bice,3
Jordan,B001302,Biggs,Biggs,R,AZ,legislator,Biggs,3
McCarthy,B001257,Bilirakis,Bilirakis,R,FL,legislator,Bilirakis,3
Jeffries,B000490,Bishop (GA),Bishop (GA),D,GA,legislator,Bishop (GA),3
Jordan,B001311,Bishop (NC),Bishop (NC),R,NC,legislator,Bishop (NC),3
Jeffries,B000574,Blumenauer,Blumenauer,D,OR,legislator,Blumenauer,3
Jeffries,B001303,Blunt Rochester,Blunt Rochester,D,DE,legislator,Blunt Rochester,3
Jordan,B000825,Boebert,Boebert,R,CO,legislator,Boebert,3
Jeffries,B001278,Bonamici,Bonamici,D,OR,legislator,Bonamici,3
McCarthy,B001295,Bost,Bost,R,IL,legislator,Bost,3
Jeffries,B001223,Bowman,Bowman,D,NY,legislator,Bowman,3
Jeffries,B001296,Boyle (PA),Boyle (PA),D,PA,legislator,Boyle (PA),3
Jordan,B001317,Brecheen,Brecheen,R,OK,legislator,Brecheen,3
Jeffries,B001313,Brown,Brown,D,OH,legislator,Brown,3
Jeffries,B001285,Brownley,Brownley,D,CA,legislator,Brownley,3
McCarthy,B001260,Buchanan,Buchanan,R,FL,legislator,Buchanan,3
McCarthy,B001297,Buck,Buck,R,CO,legislator,Buck,3
McCarthy,B001275,Bucshon,Bucshon,R,IN,legislator,Bucshon,3
Jeffries,B001315,Budzinski,Budzinski,D,IL,legislator,Budzinski,3
McCarthy,B001309,Burchett,Burchett,R,TN,legislator,Burchett,3
McCarthy,B001248,Burgess,Burgess,R,TX,legislator,Burgess,3
McCarthy,B001316,Burlison,Burlison,R,MO,legislator,Burlison,3
Jeffries,B001224,Bush,Bush,D,MO,legislator,Bush,3
McCarthy,C000059,Calvert,Calvert,R,CA,legislator,Calvert,3
McCarthy,C001039,Cammack,Cammack,R,FL,legislator,Cammack,3
Jeffries,C001134,Caraveo,Caraveo,D,CO,legislator,Caraveo,3
Jeffries,C001112,Carbajal,Carbajal,D,CA,legislator,Carbajal,3
Jeffries,C001097,Cardenas,Cardenas,D,CA,legislator,Cárdenas,3
McCarthy,C001126,Carey,Carey,R,OH,legislator,Carey,3
McCarthy,C001054,Carl,Carl,R,AL,legislator,Carl,3
Jeffries,C001072,Carson,Carson,D,IN,legislator,Carson,3
McCarthy,C001103,Carter (GA),Carter (GA),R,GA,legislator,Carter (GA),3
Jeffries,C001125,Carter (LA),Carter (LA),D,LA,legislator,Carter (LA),3
McCarthy,C001051,Carter (TX),Carter (TX),R,TX,legislator,Carter (TX),3
Jeffries,C001090,Cartwright,Cartwright,D,PA,legislator,Cartwright,3
Jeffries,C001131,Casar,Casar,D,TX,legislator,Casar,3
Jeffries,C001055,Case,Case,D,HI,legislator,Case,3
Jeffries,C001117,Casten,Casten,D,IL,legislator,Casten,3
Jeffries,C001066,Castor (FL),Castor (FL),D,FL,legislator,Castor (FL),3
Jeffries,C001091,Castro (TX),Castro (TX),D,TX,legislator,Castro (TX),3
McCarthy,C001135,Chavez-DeRemer,Chavez-DeRemer,R,OR,legislator,Chavez-DeRemer,3
Jeffries,C001127,Cherfilus-McCormick,Cherfilus-McCormick,D,FL,legislator,Cherfilus-McCormick,3
Jeffries,C001080,Chu,Chu,D,CA,legislator,Chu,3
Jeffries,C001084,Cicilline,Cicilline,D,RI,legislator,Cicilline,3
McCarthy,C001133,Ciscomani,Ciscomani,R,AZ,legislator,Ciscomani,3
Jeffries,C001101,Clark (MA),Clark (MA),D,MA,legislator,Clark (MA),3
Jeffries,C001067,Clarke (NY),Clarke (NY),D,NY,legislator,Clarke (NY),3
Jeffries,C001061,Cleaver,Cleaver,D,MO,legislator,Cleaver,3
McCarthy,C001118,Cline,Cline,R,VA,legislator,Cline,3
Jordan,C001115,Cloud,Cloud,R,TX,legislator,Cloud,3
Jeffries,C000537,Clyburn,Clyburn,D,SC,legislator,Clyburn,3
Jordan,C001116,Clyde,Clyde,R,GA,legislator,Clyde,3
Jeffries,C001068,Cohen,Cohen,D,TN,legislator,Cohen,3
McCarthy,C001053,Cole,Cole,R,OK,legislator,Cole,3
McCarthy,C001129,Collins,Collins,R,GA,legislator,Collins,3
McCarthy,C001108,Comer,Comer,R,KY,legislator,Comer,3
Jeffries,C001078,Connolly,Connolly,D,VA,legislator,Connolly,3
Jeffries,C001110,Correa,Correa,D,CA,legislator,Correa,3
Jeffries,C001059,Costa,Costa,D,CA,legislator,Costa,3
Jeffries,C001069,Courtney,Courtney,D,CT,legislator,Courtney,3
Jeffries,C001119,Craig,Craig,D,MN,legislator,Craig,3
Jordan,C001132,Crane,Crane,R,AZ,legislator,Crane,3
McCarthy,C001087,Crawford,Crawford,R,AR,legislator,Crawford,3
McCarthy,C001120,Crenshaw,Crenshaw,R,TX,legislator,Crenshaw,3
Jeffries,C001130,Crockett,Crockett,D,TX,legislator,Crockett,3
Jeffries,C001121,Crow,Crow,D,CO,legislator,Crow,3
Jeffries,C001063,Cuellar,Cuellar,D,TX,legislator,Cuellar,3
McCarthy,C001114,Curtis,Curtis,R,UT,legislator,Curtis,3
McCarthy,D000632,D'Esposito,D'Esposito,R,NY,legislator,D'Esposito,3
Jeffries,D000629,Davids (KS),Davids (KS),D,KS,legislator,Davids (KS),3
McCarthy,D000626,Davidson,Davidson,R,OH,legislator,Davidson,3
Jeffries,D000096,Davis (IL),Davis (IL),D,IL,legislator,Davis (IL),3
Jeffries,D000230,Davis (NC),Davis (NC),D,NC,legislator,Davis (NC),3
McCarthy,D000594,De La Cruz,De La Cruz,R,TX,legislator,De La Cruz,3
Jeffries,D000631,Dean (PA),Dean (PA),D,PA,legislator,Dean (PA),3
Jeffries,D000197,DeGette,DeGette,D,CO,legislator,DeGette,3
Jeffries,D000216,DeLauro,DeLauro,D,CT,legislator,DeLauro,3
Jeffries,D000617,DelBene,DelBene,D,WA,legislator,DelBene,3
Jeffries,D000530,Deluzio,Deluzio,D,PA,legislator,Deluzio,3
Jeffries,D000623,DeSaulnier,DeSaulnier,D,CA,legislator,DeSaulnier,3
McCarthy,D000616,DesJarlais,DesJarlais,R,TN,legislator,DesJarlais,3
McCarthy,D000600,Diaz-Balart,Diaz-Balart,R,FL,legislator,Diaz-Balart,3
Jeffries,D000624,Dingell,Dingell,D,MI,legislator,Dingell,3
