vote,@name-id,@sort-field,@unaccented-name,@party,@state,@role,#text,rollcall-num
Jeffries,A000370,Adams,Adams,D,NC,legislator,Adams,10
McCarthy,A000055,Aderholt,Aderholt,R,AL,legislator,Aderholt,10
Jeffries,A000371,Aguilar,Aguilar,D,CA,legislator,Aguilar,10
McCarthy,A000379,Alford,Alford,R,MO,legislator,Alford,10
McCarthy,A000372,Allen,Allen,R,GA,legislator,Allen,10
Jeffries,A000376,Allred,Allred,D,TX,legislator,Allred,10
McCarthy,A000369,Amodei,Amodei,R,NV,legislator,Amodei,10
McCarthy,A000377,Armstrong,Armstrong,R,ND,legislator,Armstrong,10
McCarthy,A000375,Arrington,Arrington,R,TX,legislator,Arrington,10
Jeffries,A000148,Auchincloss,Auchincloss,D,MA,legislator,Auchincloss,10
McCarthy,B001291,Babin,Babin,R,TX,legislator,Babin,10
McCarthy,B001298,Bacon,Bacon,R,NE,legislator,Bacon,10
McCarthy,B001307,Baird,Baird,R,IN,legislator,Baird,10
McCarthy,B001306,Balderson,Balderson,R,OH,legislator,Balderson,10
Jeffries,B001318,Balint,Balint,D,VT,legislator,Balint,10
McCarthy,B001299,Banks,Banks,R,IN,legislator,Banks,10
McCarthy,B001282,Barr,Barr,R,KY,legislator,Barr,10
Jeffries,B001300,Barragan,Barragan,D,CA,legislator,Barragán,10
McCarthy,B001314,Bean (FL),Bean (FL),R,FL,legislator,Bean (FL),10
Jeffries,B001281,Beatty,Beatty,D,OH,legislator,Beatty,10
McCarthy,B000668,Bentz,Bentz,R,OR,legislator,Bentz,10
Jeffries,B001287,Bera,Bera,D,CA,legislator,Bera,10
McCarthy,B001301,Bergman,Bergman,R,MI,legislator,Bergman,10
Jeffries,B001292,Beyer,Beyer,D,VA,legislator,Beyer,10
McCarthy,B000740,Bice,Bice,R,OK,legislator,Bice,10
Donalds,B001302,Biggs,Biggs,R,AZ,legislator,Biggs,10
McCarthy,B001257,Bilirakis,Bilirakis,R,FL,legislator,Bilirakis,10
Jeffries,B000490,Bishop (GA),Bishop (GA),D,GA,legislator,Bishop (GA),10
Donalds,B001311,Bishop (NC),Bishop (NC),R,NC,legislator,Bishop (NC),10
Jeffries,B000574,Blumenauer,Blumenauer,D,OR,legislator,Blumenauer,10
Jeffries,B001303,Blunt Rochester,Blunt Rochester,D,DE,legislator,Blunt Rochester,10
Hern,B000825,Boebert,Boebert,R,CO,legislator,Boebert,10
Jeffries,B001278,Bonamici,Bonamici,D,OR,legislator,Bonamici,10
McCarthy,B001295,Bost,Bost,R,IL,legislator,Bost,10
Jeffries,B001223,Bowman,Bowman,D,NY,legislator,Bowman,10
Jeffries,B001296,Boyle (PA),Boyle (PA),D,PA,legislator,Boyle (PA),10
Hern,B001317,Brecheen,Brecheen,R,OK,legislator,Brecheen,10
Jeffries,B001313,Brown,Brown,D,OH,legislator,Brown,10
Jeffries,B001285,Brownley,Brownley,D,CA,legislator,Brownley,10
McCarthy,B001260,Buchanan,Buchanan,R,FL,legislator,Buchanan,10
McCarthy,B001297,Buck,Buck,R,CO,legislator,Buck,10
McCarthy,B001275,Bucshon,Bucshon,R,IN,legislator,Bucshon,10
Jeffries,B001315,Budzinski,Budzinski,D,IL,legislator,Budzinski,10
McCarthy,B001309,Burchett,Burchett,R,TN,legislator,Burchett,10
McCarthy,B001248,Burgess,Burgess,R,TX,legislator,Burgess,10
McCarthy,B001316,Burlison,Burlison,R,MO,legislator,Burlison,10
Jeffries,B001224,Bush,Bush,D,MO,legislator,Bush,10
McCarthy,C000059,Calvert,Calvert,R,CA,legislator,Calvert,10
McCarthy,C001039,Cammack,Cammack,R,FL,legislator,Cammack,10
Jeffries,C001134,Caraveo,Caraveo,D,CO,legislator,Caraveo,10
Jeffries,C001112,Carbajal,Carbajal,D,CA,legislator,Carbajal,10
Jeffries,C001097,Cardenas,Cardenas,D,CA,legislator,Cárdenas,10
McCarthy,C001126,Carey,Carey,R,OH,legislator,Carey,10
McCarthy,C001054,Carl,Carl,R,AL,legislator,Carl,10
Jeffries,C001072,Carson,Carson,D,IN,legislator,Carson,10
McCarthy,C001103,Carter (GA),Carter (GA),R,GA,legislator,Carter (GA),10
Jeffries,C001125,Carter (LA),Carter (LA),D,LA,legislator,Carter (LA),10
McCarthy,C001051,Carter (TX),Carter (TX),R,TX,legislator,Carter (TX),10
Jeffries,C001090,Cartwright,Cartwright,D,PA,legislator,Cartwright,10
Jeffries,C001131,Casar,Casar,D,TX,legislator,Casar,10
Jeffries,C001055,Case,Case,D,HI,legislator,Case,10
Jeffries,C001117,Casten,Casten,D,IL,legislator,Casten,10
Jeffries,C001066,Castor (FL),Castor (FL),D,FL,legislator,Castor (FL),10
Jeffries,C001091,Castro (TX),Castro (TX),D,TX,legislator,Castro (TX),10
McCarthy,C001135,Chavez-DeRemer,Chavez-DeRemer,R,OR,legislator,Chavez-DeRemer,10
Jeffries,C001127,Cherfilus-McCormick,Cherfilus-McCormick,D,FL,legislator,Cherfilus-McCormick,10
Jeffries,C001080,Chu,Chu,D,CA,legislator,Chu,10
Jeffries,C001084,Cicilline,Cicilline,D,RI,legislator,Cicilline,10
McCarthy,C001133,Ciscomani,Ciscomani,R,AZ,legislator,Ciscomani,10
Jeffries,C001101,Clark (MA),Clark (MA),D,MA,legislator,Clark (MA),10
Jeffries,C001067,Clarke (NY),Clarke (NY),D,NY,legislator,Clarke (NY),10
Jeffries,C001061,Cleaver,Cleaver,D,MO,legislator,Cleaver,10
McCarthy,C001118,Cline,Cline,R,VA,legislator,Cline,10
Donalds,C001115,Cloud,Cloud,R,TX,legislator,Cloud,10
Jeffries,C000537,Clyburn,Clyburn,D,SC,legislator,Clyburn,10
Donalds,C001116,Clyde,Clyde,R,GA,legislator,Clyde,10
Jeffries,C001068,Cohen,Cohen,D,TN,legislator,Cohen,10
McCarthy,C001053,Cole,Cole,R,OK,legislator,Cole,10
McCarthy,C001129,Collins,Collins,R,GA,legislator,Collins,10
McCarthy,C001108,Comer,Comer,R,KY,legislator,Comer,10
Jeffries,C001078,Connolly,Connolly,D,VA,legislator,Connolly,10
Jeffries,C001110,Correa,Correa,D,CA,legislator,Correa,10
Jeffries,C001059,Costa,Costa,D,CA,legislator,Costa,10
Jeffries,C001069,Courtney,Courtney,D,CT,legislator,Courtney,10
Jeffries,C001119,Craig,Craig,D,MN,legislator,Craig,10
Donalds,C001132,Crane,Crane,R,AZ,legislator,Crane,10
McCarthy,C001087,Crawford,Crawford,R,AR,legislator,Crawford,10
McCarthy,C001120,Crenshaw,Crenshaw,R,TX,legislator,Crenshaw,10
Jeffries,C001130,Crockett,Crockett,D,TX,legislator,Crockett,10
Jeffries,C001121,Crow,Crow,D,CO,legislator,Crow,10
Jeffries,C001063,Cuellar,Cuellar,D,TX,legislator,Cuellar,10
McCarthy,C001114,Curtis,Curtis,R,UT,legislator,Curtis,10
McCarthy,D000632,D'Esposito,D'Esposito,R,NY,legislator,D'Esposito,10
Jeffries,D000629,Davids (KS),Davids (KS),D,KS,legislator,Davids (KS),10
McCarthy,D000626,Davidson,Davidson,R,OH,legislator,Davidson,10
Jeffries,D000096,Davis (IL),Davis (IL),D,IL,legislator,Davis (IL),10
Jeffries,D000230,Davis (NC),Davis (NC),D,NC,legislator,Davis (NC),10
