vote,@name-id,@sort-field,@unaccented-name,@party,@state,@role,#text,rollcall-num
Jeffries,A000370,Adams,Adams,D,NC,legislator,Adams,16
McCarthy,A000055,Aderholt,Aderholt,R,AL,legislator,Aderholt,16
Jeffries,A000371,Aguilar,Aguilar,D,CA,legislator,Aguilar,16
McCarthy,A000379,Alford,Alford,R,MO,legislator,Alford,16
McCarthy,A000372,Allen,Allen,R,GA,legislator,Allen,16
Jeffries,A000376,Allred,Allred,D,TX,legislator,Allred,16
McCarthy,A000369,Amodei,Amodei,R,NV,legislator,Amodei,16
McCarthy,A000377,Armstrong,Armstrong,R,ND,legislator,Armstrong,16
McCarthy,A000375,Arrington,Arrington,R,TX,legislator,Arrington,16
Jeffries,A000148,Auchincloss,Auchincloss,D,MA,legislator,Auchincloss,16
McCarthy,B001291,Babin,Babin,R,TX,legislator,Babin,16
McCarthy,B001298,Bacon,Bacon,R,NE,legislator,Bacon,16
McCarthy,B001307,Baird,Baird,R,IN,legislator,Baird,16
McCarthy,B001306,Balderson,Balderson,R,OH,legislator,Balderson,16
Jeffries,B001318,Balint,Balint,D,VT,legislator,Balint,16
McCarthy,B001299,Banks,Banks,R,IN,legislator,Banks,16
McCarthy,B001282,Barr,Barr,R,KY,legislator,Barr,16
Jeffries,B001300,Barragan,Barragan,D,CA,legislator,Barragán,16
McCarthy,B001314,Bean (FL),Bean (FL),R,FL,legislator,Bean (FL),16
Jeffries,B001281,Beatty,Beatty,D,OH,legislator,Beatty,16
McCarthy,B000668,Bentz,Bentz,R,OR,legislator,Bentz,16
Jeffries,B001287,Bera,Bera,D,CA,legislator,Bera,16
McCarthy,B001301,Bergman,Bergman,R,MI,legislator,Bergman,16
Jeffries,B001292,Beyer,Beyer,D,VA,legislator,Beyer,16
McCarthy,B000740,Bice,Bice,R,OK,legislator,Bice,16
Jordan,B001302,Biggs,Biggs,R,AZ,legislator,Biggs,16
McCarthy,B001257,Bilirakis,Bilirakis,R,FL,legislator,Bilirakis,16
Jeffries,B000490,Bishop (GA),Bishop (GA),D,GA,legislator,Bishop (GA),16
McCarthy,B001311,Bishop (NC),Bishop (NC),R,NC,legislator,Bishop (NC),16
Jeffries,B000574,Blumenauer,Blumenauer,D,OR,legislator,Blumenauer,16
Jeffries,B001303,Blunt Rochester,Blunt Rochester,D,DE,legislator,Blunt Rochester,16
Jordan,B000825,Boebert,Boebert,R,CO,legislator,Boebert,16
Jeffries,B001278,Bonamici,Bonamici,D,OR,legislator,Bonamici,16
McCarthy,B001295,Bost,Bost,R,IL,legislator,Bost,16
Jeffries,B001223,Bowman,Bowman,D,NY,legislator,Bowman,16
Jeffries,B001296,Boyle (PA),Boyle (PA),D,PA,legislator,Boyle (PA),16
McCarthy,B001317,Brecheen,Brecheen,R,OK,legislator,Brecheen,16
Jeffries,B001313,Brown,Brown,D,OH,legislator,Brown,16
Jeffries,B001285,Brownley,Brownley,D,CA,legislator,Brownley,16
McCarthy,B001260,Buchanan,Buchanan,R,FL,legislator,Buchanan,16
Not Voting,B001297,Buck,Buck,R,CO,legislator,Buck,16
McCarthy,B001275,Bucshon,Bucshon,R,IN,legislator,Bucshon,16
Jeffries,B001315,Budzinski,Budzinski,D,IL,legislator,Budzinski,16
McCarthy,B001309,Burchett,Burchett,R,TN,legislator,Burchett,16
McCarthy,B001248,Burgess,Burgess,R,TX,legislator,Burgess,16
McCarthy,B001316,Burlison,Burlison,R,MO,legislator,Burlison,16
Jeffries,B001224,Bush,Bush,D,MO,legislator,Bush,16
McCarthy,C000059,Calvert,Calvert,R,CA,legislator,Calvert,16
McCarthy,C001039,Cammack,Cammack,R,FL,legislator,Cammack,16
Jeffries,C001134,Caraveo,Caraveo,D,CO,legislator,Caraveo,16
Jeffries,C001112,Carbajal,Carbajal,D,CA,legislator,Carbajal,16
Jeffries,C001097,Cardenas,Cardenas,D,CA,legislator,Cárdenas,16
McCarthy,C001126,Carey,Carey,R,OH,legislator,Carey,16
McCarthy,C001054,Carl,Carl,R,AL,legislator,Carl,16
Jeffries,C001072,Carson,Carson,D,IN,legislator,Carson,16
McCarthy,C001103,Carter (GA),Carter (GA),R,GA,legislator,Carter (GA),16
Jeffries,C001125,Carter (LA),Carter (LA),D,LA,legislator,Carter (LA),16
McCarthy,C001051,Carter (TX),Carter (TX),R,TX,legislator,Carter (TX),16
Jeffries,C001090,Cartwright,Cartwright,D,PA,legislator,Cartwright,16
Jeffries,C001131,Casar,Casar,D,TX,legislator,Casar,16
Jeffries,C001055,Case,Case,D,HI,legislator,Case,16
Jeffries,C001117,Casten,Casten,D,IL,legislator,Casten,16
Jeffries,C001066,Castor (FL),Castor (FL),D,FL,legislator,Castor (FL),16
Jeffries,C001091,Castro (TX),Castro (TX),D,TX,legislator,Castro (TX),16
McCarthy,C001135,Chavez-DeRemer,Chavez-DeRemer,R,OR,legislator,Chavez-DeRemer,16
Jeffries,C001127,Cherfilus-McCormick,Cherfilus-McCormick,D,FL,legislator,Cherfilus-McCormick,16
Jeffries,C001080,Chu,Chu,D,CA,legislator,Chu,16
Jeffries,C001084,Cicilline,Cicilline,D,RI,legislator,Cicilline,16
McCarthy,C001133,Ciscomani,Ciscomani,R,AZ,legislator,Ciscomani,16
Jeffries,C001101,Clark (MA),Clark (MA),D,MA,legislator,Clark (MA),16
Jeffries,C001067,Clarke (NY),Clarke (NY),D,NY,legislator,Clarke (NY),16
Jeffries,C001061,Cleaver,Cleaver,D,MO,legislator,Cleaver,16
McCarthy,C001118,Cline,Cline,R,VA,legislator,Cline,16
McCarthy,C001115,Cloud,Cloud,R,TX,legislator,Cloud,16
Jeffries,C000537,Clyburn,Clyburn,D,SC,legislator,Clyburn,16
McCarthy,C001116,Clyde,Clyde,R,GA,legislator,Clyde,16
Jeffries,C001068,Cohen,Cohen,D,TN,legislator,Cohen,16
McCarthy,C001053,Cole,Cole,R,OK,legislator,Cole,16
McCarthy,C001129,Collins,Collins,R,GA,legislator,Collins,16
McCarthy,C001108,Comer,Comer,R,KY,legislator,Comer,16
Jeffries,C001078,Connolly,Connolly,D,VA,legislator,Connolly,16
Jeffries,C001110,Correa,Correa,D,CA,legislator,Correa,16
Jeffries,C001059,Costa,Costa,D,CA,legislator,Costa,16
Jeffries,C001069,Courtney,Courtney,D,CT,legislator,Courtney,16
Jeffries,C001119,Craig,Craig,D,MN,legislator,Craig,16
Jordan,C001132,Crane,Crane,R,AZ,legislator,Crane,16
McCarthy,C001087,Crawford,Crawford,R,AR,legislator,Crawford,16
McCarthy,C001120,Crenshaw,Crenshaw,R,TX,legislator,Crenshaw,16
Jeffries,C001130,Crockett,Crockett,D,TX,legislator,Crockett,16
Jeffries,C001121,Crow,Crow,D,CO,legislator,Crow,16
Jeffries,C001063,Cuellar,Cuellar,D,TX,legislator,Cuellar,16
McCarthy,C001114,Curtis,Curtis,R,UT,legislator,Curtis,16
McCarthy,D000632,D'Esposito,D'Esposito,R,NY,legislator,D'Esposito,16
Jeffries,D000629,Davids (KS),Davids (KS),D,KS,legislator,Davids (KS),16
McCarthy,D000626,Davidson,Davidson,R,OH,legislator,Davidson,16
Jeffries,D000096,Davis (IL),Davis (IL),D,IL,legislator,Davis (IL),16
Jeffries,D000230,Davis (NC),Davis (NC),D,NC,legislator,Davis (NC),16
McCarthy,D000594,De La Cruz,De La Cruz,R,TX,legislator,De La Cruz,16
Jeffries,D000631,Dean (PA),Dean (PA),D,PA,legislator,Dean (PA),16
Jeffries,D000197,DeGette,DeGette,D,CO,legislator,DeGette,16
Jeffries,D000216,DeLauro,DeLauro,D,CT,legislator,DeLauro,16
Jeffries,D000617,DelBene,DelBene,D,WA,legislator,DelBene,16
Jeffries,D000530,Deluzio,Deluzio,D,PA,legislator,Deluzio,16
Jeffries,D000623,DeSaulnier,DeSaulnier,D,CA,legislator,DeSaulnier,16
McCarthy,D000616,DesJarlais,DesJarlais,R,TN,legislator,DesJarlais,16
McCarthy,D000600,Diaz-Balart,Diaz-Balart,R,FL,legislator,Diaz-Balart,16
Jeffries,D000624,Dingell,Dingell,D,MI,legislator,Dingell,16
Jeffries,D000399,Doggett,Doggett,D,TX,legislator,Doggett,16
McCarthy,D000032,Donalds,Donalds,R,FL,legislator,Donalds,16
McCarthy,D000633,Duarte,Duarte,R,CA,legislator,Duarte,16
McCarthy,D000615,Duncan,Duncan,R,SC,legislator,Duncan,16
McCarthy,D000628,Dunn (FL),Dunn (FL),R,FL,legislator,Dunn (FL),16
McCarthy,E000246,Edwards,Edwards,R,NC,legislator,Edwards,16
McCarthy,E000071,Ellzey,Ellzey,R,TX,legislator,Ellzey,16
McCarthy,E000294,Emmer,Emmer,R,MN,legislator,Emmer,16
Jeffries,E000299,Escobar,Escobar,D,TX,legislator,Escobar,16
Jeffries,E000215,Eshoo,Eshoo,D,CA,legislator,Eshoo,16
Jeffries,E000297,Espaillat,Espaillat,D,NY,legislator,Espaillat,16
McCarthy,E000298,Estes,Estes,R,KS,legislator,Estes,16
Jeffries,E000296,Evans,Evans,D,PA,legislator,Evans,16
McCarthy,E000235,Ezell,Ezell,R,MS,legislator,Ezell,16
McCarthy,F000246,Fallon,Fallon,R,TX,legislator,Fallon,16
McCarthy,F000446,Feenstra,Feenstra,R,IA,legislator,Feenstra,16
McCarthy,F000465,Ferguson,Ferguson,R,GA,legislator,Ferguson,16
McCarthy,F000475,Finstad,Finstad,R,MN,legislator,Finstad,16
McCarthy,F000470,Fischbach,Fischbach,R,MN,legislator,Fischbach,16
McCarthy,F000471,Fitzgerald,Fitzgerald,R,WI,legislator,Fitzgerald,16
McCarthy,F000466,Fitzpatrick,Fitzpatrick,R,PA,legislator,Fitzpatrick,16
McCarthy,F000459,Fleischmann,Fleischmann,R,TN,legislator,Fleischmann,16
Jeffries,F000468,Fletcher,Fletcher,D,TX,legislator,Fletcher,16
McCarthy,F000474,Flood,Flood,R,NE,legislator,Flood,16
Jeffries,F000454,Foster,Foster,D,IL,legislator,Foster,16
Jeffries,F000477,Foushee,Foushee,D,NC,legislator,Foushee,16
McCarthy,F000450,Foxx,Foxx,R,NC,legislator,Foxx,16
Jeffries,F000462,"Frankel, Lois","Frankel, Lois",D,FL,legislator,"Frankel, Lois",16
McCarthy,F000472,"Franklin, C. Scott","Franklin, C. Scott",R,FL,legislator,"Franklin, C. Scott",16
Jeffries,F000476,Frost,Frost,D,FL,legislator,Frost,16
McCarthy,F000478,Fry,Fry,R,SC,legislator,Fry,16
McCarthy,F000469,Fulcher,Fulcher,R,ID,legislator,Fulcher,16
Jordan,G000578,Gaetz,Gaetz,R,FL,legislator,Gaetz,16
McCarthy,G000579,Gallagher,Gallagher,R,WI,legislator,Gallagher,16
Jeffries,G000574,Gallego,Gallego,D,AZ,legislator,Gallego,16
Jeffries,G000559,Garamendi,Garamendi,D,CA,legislator,Garamendi,16
McCarthy,G000597,Garbarino,Garbarino,R,NY,legislator,Garbarino,16
Jeffries,G000586,Garcia (IL),Garcia (IL),D,IL,legislator,García (IL),16
Jeffries,G000587,Garcia (TX),Garcia (TX),D,TX,legislator,Garcia (TX),16
McCarthy,G000061,"Garcia, Mike","Garcia, Mike",R,CA,legislator,"Garcia, Mike",16
Jeffries,G000598,"Garcia, Robert","Garcia, Robert",D,CA,legislator,"Garcia, Robert",16
McCarthy,G000593,Gimenez,Gimenez,R,FL,legislator,Gimenez,16
Jeffries,G000592,Golden (ME),Golden (ME),D,ME,legislator,Golden (ME),16
Jeffries,G000599,Goldman (NY),Goldman (NY),D,NY,legislator,Goldman (NY),16
Jeffries,G000585,Gomez,Gomez,D,CA,legislator,Gomez,16
McCarthy,G000594,"Gonzales, Tony","Gonzales, Tony",R,TX,legislator,"Gonzales, Tony",16
Jeffries,G000581,"Gonzalez, Vicente","Gonzalez, Vicente",D,TX,legislator,"Gonzalez, Vicente",16
Jordan,G000595,Good (VA),Good (VA),R,VA,legislator,Good (VA),16
McCarthy,G000589,Gooden (TX),Gooden (TX),R,TX,legislator,Gooden (TX),16
McCarthy,G000565,Gosar,Gosar,R,AZ,legislator,Gosar,16
Jeffries,G000583,Gottheimer,Gottheimer,D,NJ,legislator,Gottheimer,16
McCarthy,G000377,Granger,Granger,R,TX,legislator,Granger,16
McCarthy,G000577,Graves (LA),Graves (LA),R,LA,legislator,Graves (LA),16
McCarthy,G000546,Graves (MO),Graves (MO),R,MO,legislator,Graves (MO),16
McCarthy,G000590,Green (TN),Green (TN),R,TN,legislator,Green (TN),16
Jeffries,G000553,Green (TX),Green (TX),D,TX,legislator,Green (TX),16
McCarthy,G000596,Greene (GA),Greene (GA),R,GA,legislator,Greene (GA),16
McCarthy,G000568,Griffith,Griffith,R,VA,legislator,Griffith,16
Jeffries,G000551,Grijalva,Grijalva,D,AZ,legislator,Grijalva,16
McCarthy,G000576,Grothman,Grothman,R,WI,legislator,Grothman,16
McCarthy,G000591,Guest,Guest,R,MS,legislator,Guest,16
McCarthy,G000558,Guthrie,Guthrie,R,KY,legislator,Guthrie,16
McCarthy,H001096,Hageman,Hageman,R,WY,legislator,Hageman,16
